単語,元表記など,品詞,京阪式アクセント,東京式アクセント
あめ,雨,名,名K LH↘,名T HL
ある,有る,五段,動K LH→,動T HL
いく,行く,五段,動K HH→,動T LH→
いぬ,犬,名,名K HL,名T LH↘
うみ,海,名,名K LH→,名T HL
えんぎ,演技,名スル,名K HLL,名T HLL
おとこ,男,名,名K HLL,名T LHH↘
おんな,女,名,名K HLL,名T LHH↘
からだ,体,名,名K HHH→,名T LHH→
かわ,川,名,名K HL,名T LH↘
くる,来る,カ変,動K LH→,動T HL
くるま,車,名,名K HHH→,名T LHH→
けんか,喧嘩,名スル,名K HHH→,名T LHH→
げんご,言語,名,名K HLL,名T HLL
こうえん,公園,名,名K HHHH→,名T LHHH→
ごりら,ゴリラ,名,名K LHL,名T HLL
さいご,最後,名,名K LHL,名T HLL
しけん,試験,名スル,名K LHL,名T LHL
じゅんび,準備,名スル,名K LHL,名T HLL
する,する,サ変,動K HH→,動T LH→
たべる,食べる,下一段,動K LLH→,動T LHL
とまと,トマト,名,名K LHL,名T HLL
つくる,作る,五段,動K LLH→,動T LHL
つける,付ける,下一段,動K LLH→,動T LHL
でんしゃ,電車,名,名K LLH→,名T LHH→
にわとり,鶏,名,名K HHHH→,名T LHHH→
はいる,入る,五段,動K LLH→,動T HLL
はし,端,名,名K HH→,名T LH→
はし,橋,名,名K HL,名T LH↘
はし,箸,名,名K LH→,名T HL
ひだり,左,名,名K LLH→,名T LHH→
みぎ,右,名,名K HH→,名T LH→
みる,見る,上一段,動K LH→,動T HL
やすむ,休む,五段,動K HHH→,動T LHL
やま,山,名,名K HL,名T LH↘
わかる,分かる,五段,動K HHH→,動T LHL
わらる,笑う,五段,動K HHH→,動T LHH→
